Erreur;Ntotal;Nprocessus;Temps(ms)
1.2902576969798323E-4;10000000;1;588
1.1482914877409597E-4;20000000;2;1344
4.434701497684959E-5;30000000;3;2003
3.060435288988145E-5;40000000;4;2656
3.730159289519722E-5;50000000;5;3335
1.589843614822685E-5;60000000;6;4204
2.3999434442858324E-5;70000000;7;4939
5.465495012436297E-5;80000000;8;5553
4.3096247534454416E-5;90000000;9;6458
1.9446693613676406E-5;100000000;10;7204
5.90664357742553E-5;110000000;11;7941
6.621490415765105E-5;120000000;12;8620
1.799928139699426E-5;130000000;13;9574
1.9790911327917317E-5;140000000;14;10355
1.5834937438437065E-5;150000000;15;11169
2.3452623531267063E-5;160000000;16;12198
